review,aspect,aspect_sentiment
i have been wearing these for a few weeks now and i love them they are comfortable they dont chafe between my toes and they fit perfectly they look nice too,comfort,POSITIVE
i have been wearing these for a few weeks now and i love them they are comfortable they dont chafe between my toes and they fit perfectly they look nice too,ring,POSITIVE
i received these boots after reading mixed reviews i wear a size jean and these were entirely too small in the shaft i have regular shaft boots that are wider shaft check out bandolinos theyre perfect there wasnt a rainboot shine to them they fit very narrow so if you have a wide foot forget it also order a half size up from what you would normally or if youre inbetween sizes go a size up the toe area is very snug and almost uncomfortable i have a very narrow foot too there is elastic in the back it does stretch but not much the inside of this boot was labeled wide shaftone star for being a good looking boot and another star for how quiet they are when you walk this was useful at work,size,POSITIVE
i received these boots after reading mixed reviews i wear a size jean and these were entirely too small in the shaft i have regular shaft boots that are wider shaft check out bandolinos theyre perfect there wasnt a rainboot shine to them they fit very narrow so if you have a wide foot forget it also order a half size up from what you would normally or if youre inbetween sizes go a size up the toe area is very snug and almost uncomfortable i have a very narrow foot too there is elastic in the back it does stretch but not much the inside of this boot was labeled wide shaftone star for being a good looking boot and another star for how quiet they are when you walk this was useful at work,fit,NEGATIVE
i received these boots after reading mixed reviews i wear a size jean and these were entirely too small in the shaft i have regular shaft boots that are wider shaft check out bandolinos theyre perfect there wasnt a rainboot shine to them they fit very narrow so if you have a wide foot forget it also order a half size up from what you would normally or if youre inbetween sizes go a size up the toe area is very snug and almost uncomfortable i have a very narrow foot too there is elastic in the back it does stretch but not much the inside of this boot was labeled wide shaftone star for being a good looking boot and another star for how quiet they are when you walk this was useful at work,comfort,NEGATIVE
i wear an but found this to slip on my heel some so i added heel cushions and it is great the crocs grace pump has a very comfortable foot bed and good grips on the bottom i can wear this shoe all day long i expect it to last for years,heel,POSITIVE
i wear an but found this to slip on my heel some so i added heel cushions and it is great the crocs grace pump has a very comfortable foot bed and good grips on the bottom i can wear this shoe all day long i expect it to last for years,shoe,NEGATIVE
i wear an but found this to slip on my heel some so i added heel cushions and it is great the crocs grace pump has a very comfortable foot bed and good grips on the bottom i can wear this shoe all day long i expect it to last for years,comfort,POSITIVE
fits well and looks ok i havent tried them in the field yet but so far so good a lot of pocket space,fit,POSITIVE
very warm and just the right design but the size is way bigger than expected i ordered the small pair and the packaging said small but these dwarfed my hands like i am a year old,packaging,NEGATIVE
very warm and just the right design but the size is way bigger than expected i ordered the small pair and the packaging said small but these dwarfed my hands like i am a year old,size,POSITIVE
very warm and just the right design but the size is way bigger than expected i ordered the small pair and the packaging said small but these dwarfed my hands like i am a year old,design,POSITIVE
i thought this was a super fun piece because it was so weird though it is quite cheaply made and i needed to make some alterationsthe hoops that hold the chains to the buck are really large and get caught on everything the chains are all different sizes which i thought was weird because some just dangle off the wrist in a weird wayso i kept the shortest chains as is and then cut the others down to sizeplease note this bracelet is very small for example i wear a hair tie around my wrist and it barely leaves a dent and this bracelet has just a teeny bit of room to move around when i wear it,bracelet,NEGATIVE
i thought this was a super fun piece because it was so weird though it is quite cheaply made and i needed to make some alterationsthe hoops that hold the chains to the buck are really large and get caught on everything the chains are all different sizes which i thought was weird because some just dangle off the wrist in a weird wayso i kept the shortest chains as is and then cut the others down to sizeplease note this bracelet is very small for example i wear a hair tie around my wrist and it barely leaves a dent and this bracelet has just a teeny bit of room to move around when i wear it,size,POSITIVE
i thought this was a super fun piece because it was so weird though it is quite cheaply made and i needed to make some alterationsthe hoops that hold the chains to the buck are really large and get caught on everything the chains are all different sizes which i thought was weird because some just dangle off the wrist in a weird wayso i kept the shortest chains as is and then cut the others down to sizeplease note this bracelet is very small for example i wear a hair tie around my wrist and it barely leaves a dent and this bracelet has just a teeny bit of room to move around when i wear it,chain,NEGATIVE
they are very average shoes please dont buy them thinking they are better than any quality shoe on the market go to a vasque dealer and get better shoes,shoe,NEGATIVE
they are very average shoes please dont buy them thinking they are better than any quality shoe on the market go to a vasque dealer and get better shoes,quality,POSITIVE
i love it because it covers over your bottom i am slender and short anyway but the waist is a little tight on me i should have ordered one size up but was afraid it would be too big in the bra,size,NEGATIVE
bought as a gift for a relative the panties appear to be well made and of good quality recipient was pleased,quality,POSITIVE
the necklace looks brilliant and my girlfriend fell in love with it at first however a few weeks into owning it the center blue gem fell off which needed to be super glued back on shortly after that two of the small white gems have fallen off terrible quality,quality,NEGATIVE
merrill shoes never disappoint me i walk miles a day and when ever i replace my shoes its with merrill shoes no break in needed comfortable from the minute you put them oni have a narrow foot but need a large toe box i used to buy shoes a size too large to get the extra toe room once i discovered these shoes i didnt have to do that anymore,size,NEGATIVE
merrill shoes never disappoint me i walk miles a day and when ever i replace my shoes its with merrill shoes no break in needed comfortable from the minute you put them oni have a narrow foot but need a large toe box i used to buy shoes a size too large to get the extra toe room once i discovered these shoes i didnt have to do that anymore,shoe,POSITIVE
merrill shoes never disappoint me i walk miles a day and when ever i replace my shoes its with merrill shoes no break in needed comfortable from the minute you put them oni have a narrow foot but need a large toe box i used to buy shoes a size too large to get the extra toe room once i discovered these shoes i didnt have to do that anymore,comfort,POSITIVE
from active military requirements to civilian use vneck undershirts are worn as underwear and jammies i like to use one size larger than required hanes has provided good value and wear ability for me recommend this vendor and item,size,NEGATIVE
